sector,num_bedrooms,num_bathrooms,num_balconies,age_group,super_built_up_area,built_up_area,carpet_area,floor_number,servant_room,pooja_room,store_room,furnished,Centrally Air Conditioned,False Ceiling Lighting,Intercom Facility,Private Garden / Terrace,Separate entry for servant room,Spacious Interiors
sector 7,2,2.0,1.0,Moderately New Flat,1169.1,1016.7740174672489,900.0,4.0,0,0,0,0,0,0,0,0,0,0
sector 3,2,2.0,1.0,Old Flat,844.3500000000001,734.3367903930131,650.0,1.0,0,0,0,1,0,0,0,0,0,0
sohna road,2,2.0,3.0,New Flat,772.905,672.2006004366813,595.0,12.0,0,0,0,0,0,0,1,0,0,0
sector 61,2,2.0,2.0,Under Construction,1558.8,1355.698689956332,1200.0,2.0,0,0,0,0,0,1,0,1,0,0
sector 92,2,2.0,3.0,Under Construction,1345.0,1174.6724890829694,1037.588036154786,5.0,0,0,0,0,0,0,0,0,0,0
sector 36,2,2.0,3.0,Moderately New Flat,755.152,654.0,580.1115137459535,3.0,0,0,0,0,0,0,0,0,0,0
dwarka expressway,3,3.0,3.0,New Flat,1500.0,1310.043668122271,1157.1613786112857,5.0,0,0,0,0,0,0,0,0,0,0
sector 104,3,4.0,3.0,New Flat,2974.71,2587.125,2290.0,14.0,0,0,0,0,0,0,1,0,0,0
sector 88,2,4.0,4.0,Under Construction,1461.375,1350.0,1050.0,2.0,0,0,0,0,0,0,1,0,0,0
sector 78,3,3.0,2.0,Under Construction,3248.077333333333,2813.0,2495.189125638176,31.0,1,0,0,0,0,0,1,0,1,1
sector 81,2,2.0,2.0,Under Construction,1396.425,1214.4800764192141,1075.0,1.0,0,0,0,0,0,0,1,0,0,0
sohna road,2,2.0,1.0,Moderately New Flat,674.181,586.3396834061136,519.0,4.0,0,0,0,0,0,0,1,0,0,0
sector 79,3,3.0,3.0,Moderately New Flat,2526.555,2197.3616266375548,1945.0,4.0,0,0,0,0,0,0,0,0,0,0
sector 33,2,2.0,4.0,Under Construction,1385.0,1209.6069868995635,1068.4456729177539,3.0,0,0,0,0,0,0,0,0,0,0
sector 90,2,2.0,3.0,New Flat,1300.0,1135.3711790393013,1002.8731947964477,13.0,0,0,0,0,0,0,1,0,0,0
sector 108,4,5.0,3.0,Moderately New Flat,2846.542,2343.0,2300.0,25.0,0,0,0,0,0,0,0,0,0,0
sector 62,1,1.0,0.0,Moderately New Flat,737.8320000000001,639.0000000000001,566.8062037976518,0.0,0,0,0,0,0,0,0,0,0,0
sector 102,2,2.0,2.0,Under Construction,1188.585,1033.7202510917032,915.0,0.0,0,0,0,0,0,0,1,0,0,0
sector 93,2,2.0,3.0,Under Construction,749.66589,651.989392467249,577.1100000000001,11.0,0,0,0,0,0,0,1,1,0,0
sector 33,3,3.0,3.0,New Flat,2100.0,1834.061135371179,1620.0259300558,12.0,1,0,0,1,0,0,1,0,0,0
sector 89,2,2.0,2.0,Under Construction,1432.797,1246.1130458515286,1103.0,4.0,0,0,0,0,0,0,1,0,0,0
sector 79,3,4.0,4.0,New Flat,2150.0,1877.7292576419215,1658.5979760095097,11.0,1,0,0,0,0,0,1,0,0,0
sector 89,2,3.0,3.0,Under Construction,1103.0,963.3187772925764,850.8993337388322,4.0,0,0,0,0,0,0,0,0,0,0
sector 102,3,3.0,4.0,Moderately New Flat,2630.475,2287.74153930131,2025.0,0.0,1,0,0,1,0,0,1,0,0,0
sector 113,3,3.0,4.0,New Flat,2217.0,1936.2445414847161,1710.2845175874804,10.0,1,0,0,0,0,0,1,0,0,0
sector 1,5,1.0,0.0,Moderately Old Flat,5196.0,4500.0,3991.592984490506,0.0,0,0,0,0,0,0,0,0,0,0
sector 36,2,2.0,1.0,Moderately New Flat,689.769,599.8966703056769,531.0,3.0,0,0,0,0,0,0,0,0,0,0
sector 65,3,4.0,2.0,Moderately Old Flat,3365.8533333333335,3355.0,2200.0,20.0,0,0,0,0,0,0,0,0,0,0
sector 48,3,5.0,4.0,Moderately Old Flat,3741.12,3253.6768558951962,2880.0,5.0,1,0,0,1,0,0,1,0,0,0
sector 37,2,2.0,2.0,Moderately New Flat,974.2500000000001,847.3116812227074,750.0,4.0,0,0,0,0,0,0,0,0,0,0
sector 3,2,2.0,0.0,Under Construction,1202.008,1056.0,912.0,4.0,0,0,0,0,0,0,0,0,0,0
sector 2,2,2.0,2.0,Moderately New Flat,771.606,671.0708515283843,594.0,1.0,0,0,0,0,0,0,0,0,0,0
sector 43,4,4.0,4.0,Moderately Old Flat,3200.0,3084.8799126637555,3000.0,12.0,0,1,0,1,0,0,1,0,1,1
sector 88,2,2.0,1.0,New Flat,812.4855300000002,706.6240496724891,625.47,8.0,0,0,0,0,0,0,0,0,0,0
sector 92,3,2.0,2.0,Moderately New Flat,1501.0666666666666,1300.0,1153.126862186146,20.0,0,0,0,0,0,0,0,0,0,0
sector 90,2,2.0,3.0,Moderately New Flat,1688.7,1468.6735807860264,1300.0,8.0,0,0,0,0,0,0,0,0,0,0
sector 68,2,2.0,4.0,Under Construction,1180.0,1030.5676855895197,910.3002845075448,21.0,0,0,0,0,0,0,1,0,0,0
sector 109,3,3.0,2.0,Moderately Old Flat,2030.0,1890.52538209607,1785.0,0.0,1,0,0,0,0,0,1,0,1,0
sohna road,2,2.0,2.0,New Flat,655.0,598.2137008733625,555.0,6.0,0,0,0,0,0,0,0,1,0,1
sector 37,2,2.0,3.0,Moderately Old Flat,1365.0,1068.1,900.0,1.0,0,0,0,1,0,1,1,0,0,1
sector 43,3,3.0,2.0,Old Flat,1714.68,1491.2685589519651,1320.0,1.0,1,0,0,1,0,0,0,0,0,0
sohna road,2,2.0,4.0,New Flat,1571.79,1366.9961790393013,1210.0,12.0,0,0,0,0,0,0,1,0,0,0
sector 106,3,3.0,4.0,Under Construction,2600.598,2261.7573144104804,2002.0,6.0,1,0,0,0,0,0,1,0,0,0
sector 82,4,4.0,4.0,Moderately New Flat,1960.0,1711.7903930131006,1512.0242013854136,1.0,1,0,0,0,0,0,1,1,0,1
sector 3,2,2.0,2.0,Moderately New Flat,909.3000000000002,790.8242358078604,700.0,2.0,0,0,0,0,0,0,0,0,0,0
sohna road,3,2.0,4.0,Moderately New Flat,1190.4064866666668,1210.73,756.6,1.0,0,0,0,0,0,0,0,0,0,0
sector 90,4,4.0,4.0,Moderately New Flat,3542.373,3080.8252729257642,2727.0,9.0,1,1,0,1,0,0,1,0,1,0
sector 106,2,2.0,2.0,New Flat,1799.115,1564.7022379912664,1385.0,5.0,0,0,0,0,0,0,1,0,0,0
sector 85,3,3.0,4.0,Under Construction,2375.871,2066.310753275109,1829.0,18.0,0,0,0,0,1,0,0,0,0,1
sector 82,3,3.0,4.0,Moderately New Flat,2727.9,2372.4727074235807,2100.0,29.0,1,0,0,1,0,0,1,0,0,0
sector 65,3,3.0,4.0,Moderately New Flat,2143.35,1864.0856986899562,1650.0,3.0,1,0,0,1,0,0,1,0,0,0
sector 28,2,2.0,2.0,Moderately New Flat,1428.9,1242.7237991266375,1100.0,3.0,0,0,0,0,0,0,1,0,0,0
sector 79,2,2.0,3.0,New Flat,1987.47,1728.5158296943232,1530.0,5.0,0,0,0,1,0,0,1,0,0,0
sohna road,3,2.0,2.0,New Flat,1454.88,1265.3187772925764,1120.0,1.0,0,0,0,0,0,0,0,0,0,0
sector 10,2,3.0,2.0,New Flat,1623.75,1412.186135371179,1250.0,9.0,0,0,0,0,0,0,1,0,0,0
manesar,4,4.0,4.0,Moderately Old Flat,3443.649,2994.9643558951966,2651.0,6.0,0,0,0,1,0,0,1,0,0,0
sector 21,1,1.0,1.0,Moderately New Flat,597.54,519.6844978165939,460.0,2.0,0,0,0,0,0,0,0,0,0,0
sector 84,1,1.0,1.0,New Flat,584.55,508.3870087336245,450.0,14.0,0,0,0,1,0,0,0,0,0,0
sector 33,3,4.0,1.0,Moderately New Flat,1570.0,1371.17903930131,1211.1622429464792,1.0,1,0,0,0,0,0,0,0,0,0
sector 71,2,2.0,2.0,Moderately New Flat,1198.0,1046.288209606987,924.1862210508802,8.0,0,0,0,0,0,0,0,0,0,0
sector 7,2,2.0,2.0,Moderately Old Flat,899.9999999999999,814.8881004366813,750.0,2.0,0,0,1,0,0,0,0,0,0,0
sohna road,2,2.0,3.0,Under Construction,1450.0,1167.5627729257642,950.0,12.0,0,0,0,0,0,0,1,0,0,0
sector 92,4,5.0,4.0,Moderately Old Flat,1897.0,1656.7685589519651,1463.4234234837395,4.0,1,0,0,0,0,0,0,0,0,0
sector 77,2,2.0,2.0,Moderately New Flat,1260.0,1112.7183406113536,1000.0,1.0,0,0,0,0,0,0,0,0,0,0
sector 37,3,3.0,4.0,Under Construction,1725.0,1506.5502183406113,1330.7355854029786,7.0,0,0,0,0,0,0,1,1,0,1
sector 67,4,4.0,3.0,New Flat,2200.0,1921.3973799126638,1697.1700219632191,3.0,0,0,0,1,0,1,0,0,0,1
sector 37,3,3.0,4.0,Under Construction,1875.0,1637.5545851528384,1446.4517232641072,5.0,0,0,0,0,0,0,0,0,0,0
sector 57,3,3.0,3.0,Moderately Old Flat,2250.0,1965.0655021834061,1735.7420679169286,9.0,0,0,0,0,0,0,0,0,0,0
sector 3,2,2.0,2.0,Under Construction,1056.58,922.7772925764192,815.0890462754082,14.0,0,0,0,0,0,0,0,0,0,0
sector 95,2,2.0,2.0,Moderately New Flat,560.0,489.0829694323145,432.0069146815466,14.0,0,0,0,0,0,0,1,0,0,0
sector 95,2,2.0,3.0,Moderately New Flat,1188.585,990.0,950.0,15.0,0,0,0,0,0,0,0,0,0,0
sector 92,3,2.0,3.0,Moderately New Flat,1370.0,1196.5065502183406,1056.874059131641,6.0,0,0,0,0,0,0,1,0,0,0
sohna road,2,2.0,2.0,New Flat,690.5094300000001,600.5406271834063,531.57,6.0,0,0,0,0,0,0,0,0,0,0
sector 99,2,2.0,1.0,New Flat,575.0,571.8123280567686,570.17,2.0,0,0,0,0,0,0,0,0,0,0
sector 103,2,3.0,3.0,Moderately New Flat,1886.1480000000001,1640.3954148471616,1452.0,3.0,1,0,0,1,0,0,1,0,0,0
sector 89,3,3.0,2.0,Under Construction,1848.477,1607.6326965065502,1423.0,2.0,0,0,0,0,0,0,1,0,0,0
sohna road,2,2.0,2.0,Moderately New Flat,831.3599999999999,723.0393013100436,640.0,4.0,0,0,0,0,0,0,1,0,0,0
sohna road,2,2.0,3.0,New Flat,1067.778,928.6536026200874,822.0,3.0,0,0,0,0,0,0,1,0,0,0
sector 49,3,4.0,4.0,Moderately Old Flat,2159.0,1885.5895196506551,1665.5409442811774,6.0,0,0,0,0,0,0,0,0,0,0
sector 90,3,4.0,3.0,New Flat,1950.0,1703.056768558952,1504.3097921946714,8.0,1,0,0,0,0,0,1,0,0,0
